sessionIx,blockIx,trialIx,trialOns,waitForTrigger,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur
1,2,248,520,FALSE,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6
1,2,249,522,FALSE,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6
1,2,250,524,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,251,526,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,252,528,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,253,530,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,254,532,FALSE,0,0,0.2,,,,0,0.2,1.2,0,2,0.466,0.6
1,2,255,534,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,256,536,FALSE,0,0,0.2,,,,1,0.2,1.2,3,2,0.466,0.6
1,2,257,538,FALSE,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6
1,2,258,540,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,259,542,FALSE,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6
1,2,260,544,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,261,546,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,262,548,FALSE,0,0,0.2,,,,1,0.2,1.2,1,0,0.266,0.6
1,2,263,550,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,264,552,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,265,554,FALSE,0,0,0.2,,,,0,0.2,1.2,1,4,0.666,0.6
1,2,266,556,FALSE,0,0,0.2,,,,0,0.2,1.2,1,4,0.666,0.6
1,2,267,558,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,268,560,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,269,562,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,270,564,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,271,566,FALSE,0,0,0.2,,,,1,0.2,1.2,1,0,0.266,0.6
1,2,272,568,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,273,570,FALSE,0,0,0.2,,,,1,0.2,1.2,2,4,0.666,0.6
1,2,274,572,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,275,574,FALSE,0,0,0.2,,,,1,0.2,1.2,1,3,0.566,0.6
1,2,276,576,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,277,578,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,278,580,FALSE,0,0,0.2,,,,0,0.2,1.2,1,0,0.266,0.6
1,2,279,582,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,280,584,FALSE,0,0,0.2,,,,0,0.2,1.2,0,1,0.366,0.6
1,2,281,586,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,282,588,FALSE,0,0,0.2,,,,0,0.2,1.2,2,3,0.566,0.6
1,2,283,590,FALSE,0,0,0.2,,,,0,0.2,1.2,0,0,0.266,0.6
1,2,284,592,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,285,594,FALSE,0,0,0.2,,,,0,0.2,1.2,0,3,0.566,0.6
1,2,286,596,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,287,598,FALSE,0,0,0.2,,,,0,0.2,1.2,1,4,0.666,0.6
1,2,288,600,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,289,602,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,290,604,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,291,606,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,292,608,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,293,610,FALSE,0,0,0.2,,,,0,0.2,1.2,2,4,0.666,0.6
1,2,294,612,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,295,614,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,296,616,FALSE,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6
