sessionIx,blockIx,trialIx,trialOns,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,1,133,278,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,134,280,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6,0.6
1,1,135,282,0,0,0.2,,,,0,0.2,1.2,0,0,0.266,0.6,0.6
1,1,136,284,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,137,286,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,138,288,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,139,290,0,0,0.2,,,,1,0.2,1.2,1,4,0.666,0.6,0.6
1,1,140,292,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,141,294,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6,0.6
1,1,142,296,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,143,298,0,0,0.2,,,,1,0.2,1.2,0,0,0.266,0.6,0.6
1,1,144,300,0,0,0.2,,,,0,0.2,1.2,3,1,0.366,0.6,0.6
1,1,145,302,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,146,304,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,147,306,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,148,308,0,0,0.2,,,,1,0.2,1.2,2,3,0.566,0.6,0.6
1,1,149,310,0,0,0.2,,,,1,0.2,1.2,0,4,0.666,0.6,0.6
1,1,150,312,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,151,314,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,152,316,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6,0.6
1,1,153,318,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,154,320,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6,0.6
1,1,155,322,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,156,324,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,157,326,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,158,328,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,159,330,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,160,332,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,161,334,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6,0.6
1,1,162,336,0,0,0.2,,,,1,0.2,1.2,1,3,0.566,0.6,0.6
1,1,163,338,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,164,340,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,165,342,0,0,0.2,,,,0,0.2,1.2,2,1,0.366,0.6,0.6
1,1,166,344,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,167,346,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6,0.6
1,1,168,348,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,169,350,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,170,352,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,171,354,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,172,356,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,173,358,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,174,360,0,0,0.2,,,,1,0.2,1.2,2,2,0.466,0.6,0.6
1,1,175,362,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,176,364,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6,0.6
1,1,177,366,0,0,0.2,,,,1,0.2,1.2,0,3,0.566,0.6,0.6
1,1,178,368,0,0,0.2,,,,0,0.2,1.2,2,1,0.366,0.6,0.6
1,1,179,370,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,180,372,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,181,374,0,0,0.2,,,,0,0.2,1.2,1,3,0.566,0.6,0.6
1,1,182,376,0,0,0.2,,,,0,0.2,1.2,0,0,0.266,0.6,0.6
1,1,183,378,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,184,380,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,185,382,0,0,0.2,,,,0,0.2,1.2,2,1,0.366,0.6,0.6
1,1,186,384,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,187,386,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,188,388,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,189,390,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,190,392,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,191,394,0,0,0.2,,,,1,0.2,1.2,3,4,0.666,0.6,0.6
1,1,192,396,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
